"#name TongTianTaTeQuanProduct","#unique id","",""
"id","towerType","round","vipLevel"
"int","int","int","int"
"*","*","*","*"
"充值商品ID","塔类型","奖励期数","购买商品需要VIP等级"
"7011","1","1","0"
"7012","1","2","0"
"7013","1","3","5"
"7014","1","4","6"
"7015","1","5","7"
"7021","2","1","0"
"7022","2","2","0"
"7023","2","3","6"
"7024","2","4","7"
"7025","2","5","8"
"7031","3","1","0"
"7032","3","2","0"
"7033","3","3","6"
"7034","3","4","7"
"7035","3","5","8"
"7041","4","1","0"
"7042","4","2","0"
"7043","4","3","6"
"7044","4","4","7"
"7045","4","5","8"
